TITLE,USER RATING,CRITCS RATING,YEAR,RT URL
Man of Steel,82,55,2013,http://www.rottentomatoes.com/m/superman_man_of_steel/
This Christmas,82,55,2007,http://www.rottentomatoes.com/m/this_christmas/
Shelter,85,58,2007,http://www.rottentomatoes.com/m/1189416-shelter/
Immortal Beloved,85,58,1994,http://www.rottentomatoes.com/m/immortal_beloved/
Lost Highway,86,59,1997,http://www.rottentomatoes.com/m/lost_highway/
Bucky Larson: Born to Be a Star,26,0,2011,http://www.rottentomatoes.com/m/bucky_larson_born_to_be_a_star/
DeepStar Six,26,0,1989,http://www.rottentomatoes.com/m/deepstar-six/
Ghoulies,26,0,1985,http://www.rottentomatoes.com/m/ghoulies/
Bloodrayne,30,4,2006,http://www.rottentomatoes.com/m/bloodrayne/
Serving Sara,31,5,2002,http://www.rottentomatoes.com/m/serving_sara/
Java Heat,34,8,2013,http://www.rottentomatoes.com/m/java_heat/
Splitting Heirs,34,8,1993,http://www.rottentomatoes.com/m/splitting_heirs/
Blame It On Rio,35,9,1984,http://www.rottentomatoes.com/m/blame_it_on_rio/
Vampire in Brooklyn,36,10,1995,http://www.rottentomatoes.com/m/vampire_in_brooklyn/
Mom and Dad Save the World,36,10,1992,http://www.rottentomatoes.com/m/mom_and_dad_save_the_world/
The Marrying Man,36,10,1991,http://www.rottentomatoes.com/m/marrying_man/
The Oxford Murders,36,10,2008,http://www.rottentomatoes.com/m/10008924-oxford_murders/
Red Scorpion,36,10,1989,http://www.rottentomatoes.com/m/red_scorpion/
The Cave,37,11,2005,http://www.rottentomatoes.com/m/cave/
Crocodile Dundee in Los Angeles,37,11,2001,http://www.rottentomatoes.com/m/crocodile_dundee_in_los_angeles/
Bushwhacked,37,11,1995,http://www.rottentomatoes.com/m/bushwhacked/
Sphere,38,12,1998,http://www.rottentomatoes.com/m/sphere/
Blank Check,39,13,1994,http://www.rottentomatoes.com/m/blank_check/
The Distinguished Gentleman,39,13,1992,http://www.rottentomatoes.com/m/the-distinguished-gentleman/
High School High,39,13,1996,http://www.rottentomatoes.com/m/high_school_high/
Tales from the Crypt Presents: Bordello of Blood,40,14,1996,http://www.rottentomatoes.com/m/tales_from_the_crypt_presents_bordello_of_blood/
Death Wish 4: The Crackdown,40,14,1987,http://www.rottentomatoes.com/m/death_wish_4_the_crackdown/
The Honeymooners,40,14,2005,http://www.rottentomatoes.com/m/1146572-honeymooners/
Josh and S.A.M.,40,14,1993,http://www.rottentomatoes.com/m/josh_and_sam/
Howard the Duck,41,15,1986,http://www.rottentomatoes.com/m/howard_the_duck/
"Look Whos Talking, Too",43,17,1990,http://www.rottentomatoes.com/m/look_whos_talking_too/
Sleepwalking,43,17,2008,http://www.rottentomatoes.com/m/sleepwalking/
Cop Out,45,19,2010,http://www.rottentomatoes.com/m/cop_out/
Navy Seals,45,19,1990,http://www.rottentomatoes.com/m/1029427-navy_seals/
Universal Soldier,46,20,1992,http://www.rottentomatoes.com/m/universal_soldier/
The Secret of Moonacre,46,20,2008,http://www.rottentomatoes.com/m/secret_of_moonacre/
Jack Frost,46,20,1998,http://www.rottentomatoes.com/m/1090089-jack_frost/
The Amazing Panda Adventure,46,20,1995,http://www.rottentomatoes.com/m/amazing_panda_adventure/
The Glass House,47,21,2001,http://www.rottentomatoes.com/m/glass_house/
Wes Craven Presents Wishmaster,47,21,1997,http://www.rottentomatoes.com/m/wishmaster/
Flakes,47,21,2007,http://www.rottentomatoes.com/m/flakes/
What to Expect When Youre Expecting,48,22,2012,http://www.rottentomatoes.com/m/what_to_expect_when_youre_expecting/
The Haunting in Connecticut 2: Ghosts of Georgia,49,23,2013,http://www.rottentomatoes.com/m/the_haunting_in_connecticut_2_ghosts_of_georgia/
Dickie Roberts - Former Child Star,49,23,2003,http://www.rottentomatoes.com/m/dickie_roberts_former_child_star/
The Narrows,49,23,2008,http://www.rottentomatoes.com/m/1213593-narrows/
Medicine Man,50,24,1992,http://www.rottentomatoes.com/m/1038176-medicine_man/
Friday the 13th Part VII - The New Blood,50,24,1988,http://www.rottentomatoes.com/m/friday_the_13th_part_7_the_new_blood/
Predator 2,51,25,1990,http://www.rottentomatoes.com/m/predator_2/
Dirty Girl,53,27,2011,http://www.rottentomatoes.com/m/dirty_girl_2011/
Rocky V,53,27,1990,http://www.rottentomatoes.com/m/rocky_v/
The Omen,53,27,2006,http://www.rottentomatoes.com/m/omen/
St. Trinians,57,31,2007,http://www.rottentomatoes.com/m/st_trinians/
Vatel,57,31,2000,http://www.rottentomatoes.com/m/vatel/
Alice in Wonderland,59,33,1999,http://www.rottentomatoes.com/m/1046873-alice_in_wonderland/
Bringing Down The House,60,34,2003,http://www.rottentomatoes.com/m/bringing_down_the_house/
Vantage Point,61,35,2008,http://www.rottentomatoes.com/m/vantage_point/
Mona Lisa Smile,61,35,2003,http://www.rottentomatoes.com/m/mona_lisa_smile/
Street Kings,62,36,2008,http://www.rottentomatoes.com/m/street_kings/
The Skeleton Key,63,37,2005,http://www.rottentomatoes.com/m/1149472-skeleton_key/
Touchback,64,38,2012,http://www.rottentomatoes.com/m/touchback/
"Mystery, Alaska",64,38,1999,http://www.rottentomatoes.com/m/mystery_alaska/
Snow Falling on Cedars,66,40,1999,http://www.rottentomatoes.com/m/snow_falling_on_cedars/
Hancock,67,41,2008,http://www.rottentomatoes.com/m/hancock/
High Tension (Switchblade Romance),67,41,2005,http://www.rottentomatoes.com/m/high-tension-switchblade-romance/
Wild Child,68,42,2009,http://www.rottentomatoes.com/m/10008678-wild_child/
Death Race,69,43,2008,http://www.rottentomatoes.com/m/death_race/
Final Destination 3,69,43,2006,http://www.rottentomatoes.com/m/final_destination_3/
Bobby,72,46,2006,http://www.rottentomatoes.com/m/1162559-bobby/
Love & Sex,74,48,2000,http://www.rottentomatoes.com/m/love_and_sex/
The Sheltering Sky,76,50,1990,http://www.rottentomatoes.com/m/sheltering_sky/
Willow,76,50,1988,http://www.rottentomatoes.com/m/willow/
Waiting to Exhale,78,52,1995,http://www.rottentomatoes.com/m/waiting_to_exhale/
The Devils Rejects,79,53,2005,http://www.rottentomatoes.com/m/devils_rejects/
Spaceballs,80,54,1987,http://www.rottentomatoes.com/m/spaceballs/
Out of Africa,83,57,1985,http://www.rottentomatoes.com/m/out_of_africa/
World War Z,99,73,2013,http://www.rottentomatoes.com/m/world-war-z/
National Lampoons Pledge This!,25,0,2006,http://www.rottentomatoes.com/m/national_lampoon_s_pledge_this/
Ballistic: Ecks vs. Sever,25,0,2002,http://www.rottentomatoes.com/m/ballistic_ecks_vs_sever/
Ed,25,0,1996,http://www.rottentomatoes.com/m/ed/
The Bone Snatcher,25,0,2003,http://www.rottentomatoes.com/m/bone_snatcher/
Run for the Money (Hard Cash),25,0,2001,http://www.rottentomatoes.com/m/hard_cash/
The Sluggers Wife,25,0,1985,http://www.rottentomatoes.com/m/sluggers_wife/
Wired,25,0,1989,http://www.rottentomatoes.com/m/wired/
Disaster Movie,26,1,2008,http://www.rottentomatoes.com/m/disaster_movie/
Speed 2 - Cruise Control,28,3,1997,http://www.rottentomatoes.com/m/speed_2_cruise_control/
The Roommate,29,4,2011,http://www.rottentomatoes.com/m/the_roommate/
Mr. Magoo,29,4,1997,http://www.rottentomatoes.com/m/mr_magoo/
Mr. Wrong,29,4,1996,http://www.rottentomatoes.com/m/mr_wrong/
Babylon A.D.,31,6,2008,http://www.rottentomatoes.com/m/babylon_ad/
Postal,32,7,2007,http://www.rottentomatoes.com/m/postal/
Shocker,33,8,1989,http://www.rottentomatoes.com/m/shocker/
Catwoman,34,9,2004,http://www.rottentomatoes.com/m/catwoman/
The Bachelor,34,9,1999,http://www.rottentomatoes.com/m/1093976-bachelor/
Urban Legends: Final Cut,34,9,2000,http://www.rottentomatoes.com/m/urban_legends_final_cut/
Say It Isnt So,34,9,2001,http://www.rottentomatoes.com/m/say_it_isnt_so/
Trial by Jury,34,9,1994,http://www.rottentomatoes.com/m/trial_by_jury/
The Watcher,35,10,2000,http://www.rottentomatoes.com/m/watcher/
Rhinestone,36,11,1984,http://www.rottentomatoes.com/m/rhinestone/
Chill Factor,36,11,1999,http://www.rottentomatoes.com/m/chill_factor/
Aliens vs. Predator: Requiem (AVP 2),37,12,2007,http://www.rottentomatoes.com/m/avp2/
Boogeyman,38,13,2005,http://www.rottentomatoes.com/m/boogeyman/
Mannequin 2: On the Move,38,13,1991,http://www.rottentomatoes.com/m/mannequin_two_on_the_move/
Man of the House,39,14,1995,http://www.rottentomatoes.com/m/1059858-man_of_the_house/
The Guardian,39,14,1990,http://www.rottentomatoes.com/m/1028564-guardian/
Protocol,39,14,1984,http://www.rottentomatoes.com/m/protocol/
Hideaway,40,15,1995,http://www.rottentomatoes.com/m/1060518-hideaway/
Never Talk to Strangers,40,15,1995,http://www.rottentomatoes.com/m/never_talk_to_strangers/
Steal Big Steal Little,40,15,1995,http://www.rottentomatoes.com/m/steal_big_steal_little/
The Watch,41,16,2012,http://www.rottentomatoes.com/m/the_watch_2012/
The Haunting,42,17,1999,http://www.rottentomatoes.com/m/1090789-haunting/
Sleepaway Camp II - Unhappy Campers,42,17,1988,http://www.rottentomatoes.com/m/sleepaway_camp_2_unhappy_campers/
The Beautician and the Beast,42,17,1997,http://www.rottentomatoes.com/m/beautician_and_the_beast/
Jingle All the Way,42,17,1996,http://www.rottentomatoes.com/m/jingle_all_the_way/
Turbo: A Power Rangers Movie,43,18,1997,http://www.rottentomatoes.com/m/turbo_a_power_rangers_movie/
Long Time Dead,43,18,2002,http://www.rottentomatoes.com/m/long_time_dead/
Fireflies in the Garden,45,20,2011,http://www.rottentomatoes.com/m/10008601-fireflies_in_the_garden/
Unfaithfully Yours,45,20,1984,http://www.rottentomatoes.com/m/1022370-unfaithfully_yours/
The Red Baron (Der rote Baron),45,20,2008,http://www.rottentomatoes.com/m/10010789-red_baron/
Urban Legend,46,21,1998,http://www.rottentomatoes.com/m/urban_legend/
The Jetsons,46,21,1990,http://www.rottentomatoes.com/m/the_jetsons/
Push,47,22,2009,http://www.rottentomatoes.com/m/10010066-push/
Ready to Rumble,48,23,2000,http://www.rottentomatoes.com/m/ready_to_rumble/
Missing in Action,48,23,1984,http://www.rottentomatoes.com/m/1014008-missing_in_action/
The Lost City,50,25,2005,http://www.rottentomatoes.com/m/10002516-lost_city/
Threesome,51,26,1994,http://www.rottentomatoes.com/m/threesome/
Paycheck,52,27,2003,http://www.rottentomatoes.com/m/paycheck/
G.I. Joe: Retaliation,53,28,2013,http://www.rottentomatoes.com/m/gi_joe_retaliation/
The Associate,53,28,1996,http://www.rottentomatoes.com/m/1073315-associate/
Jack the Bear,54,29,1993,http://www.rottentomatoes.com/m/jack_the_bear/
Pootie Tang,54,29,2001,http://www.rottentomatoes.com/m/pootie_tang/
Nights in Rodanthe,55,30,2008,http://www.rottentomatoes.com/m/nights_in_rodanthe/
The Big White,55,30,2005,http://www.rottentomatoes.com/m/1161913-big_white/
A Nightmare on Elm Street 5 - The Dream Child,56,31,1989,http://www.rottentomatoes.com/m/nightmare_on_elm_street_5_the_dream_child/
I Am Number Four,57,32,2011,http://www.rottentomatoes.com/m/i_am_number_four/
The Lovely Bones,57,32,2009,http://www.rottentomatoes.com/m/1189344-lovely_bones/
Poseidon,57,32,2006,http://www.rottentomatoes.com/m/poseidon/
Fanboys,57,32,2007,http://www.rottentomatoes.com/m/fanboys/
Nightbreed,61,36,1990,http://www.rottentomatoes.com/m/nightbreed/
Ice Age: Continental Drift,62,37,2012,http://www.rottentomatoes.com/m/ice_age_continental_drift/
Like Minds (Murderous Intent),63,38,2006,http://www.rottentomatoes.com/m/like_minds/
Meet The Fockers,63,38,2004,http://www.rottentomatoes.com/m/meet_the_fockers/
Fear,64,39,1996,http://www.rottentomatoes.com/m/1071258-fear/
Hot Rod,64,39,2007,http://www.rottentomatoes.com/m/hot_rod/
Martin Lawrence Live - Runteldat,64,39,2002,http://www.rottentomatoes.com/m/martin_lawrence_live_runteldat/
Undertaking Betty (Plots with a View),65,40,2003,http://www.rottentomatoes.com/m/1155595-undertaking_betty/
Walker,65,40,1987,http://www.rottentomatoes.com/m/walker/
Road House,66,41,1989,http://www.rottentomatoes.com/m/1017666-road_house/
Cadence,67,42,1990,http://www.rottentomatoes.com/m/cadence/
The Rules of Attraction,68,43,2002,http://www.rottentomatoes.com/m/rules_of_attraction/
The Jacket,69,44,2005,http://www.rottentomatoes.com/m/jacket/
My Sisters Keeper,73,48,2009,http://www.rottentomatoes.com/m/10010662-my_sisters_keeper/
The Twilight Saga: Eclipse,74,49,2010,http://www.rottentomatoes.com/m/1210749-eclipse/
My Girl,75,50,1991,http://www.rottentomatoes.com/m/1037649-my_girl/
Rush Hour 2,77,52,2001,http://www.rottentomatoes.com/m/rush_hour_2/
Angelas Ashes,77,52,1999,http://www.rottentomatoes.com/m/angelas_ashes/
Top Gun,80,55,1986,http://www.rottentomatoes.com/m/top_gun/
Lords of Dogtown,80,55,2005,http://www.rottentomatoes.com/m/lords_of_dogtown/
Noises Off...,82,57,1992,http://www.rottentomatoes.com/m/noises_off/
Dead Mans Shoes,82,57,2004,http://www.rottentomatoes.com/m/dead_mans_shoes/
Taken,83,58,2008,http://www.rottentomatoes.com/m/taken/
To End All Wars,83,58,2001,http://www.rottentomatoes.com/m/to_end_all_wars/
Broken,86,61,2013,http://www.rottentomatoes.com/m/broken_2012/
The Goonies,88,63,1985,http://www.rottentomatoes.com/m/goonies/
"Surfer, Dude",24,0,2008,http://www.rottentomatoes.com/m/surfer_dude/
Its Pat,24,0,1994,http://www.rottentomatoes.com/m/its-pat/
Fortress 2: Re-entry,24,0,1999,http://www.rottentomatoes.com/m/fortress_2_reentry/
fear dot com (FeardotCom),27,3,2002,http://www.rottentomatoes.com/m/fear_dot_com/
Movie 43,28,4,2013,http://www.rottentomatoes.com/m/movie_43/
In the Name of the King: A Dungeon Siege Tale,28,4,2008,http://www.rottentomatoes.com/m/in-the-name-of-the-king-a-dungeon-siege-tale/
Getting Even With Dad,28,4,1994,http://www.rottentomatoes.com/m/getting_even_with_dad/
The Cold Light of Day,29,5,2012,http://www.rottentomatoes.com/m/the_cold_light_of_day/
Basic Instinct 2,31,7,2006,http://www.rottentomatoes.com/m/basic_instinct_2/
The Reunion,32,8,2011,http://www.rottentomatoes.com/m/blood_brothers_2011/
Extreme Ops,32,8,2002,http://www.rottentomatoes.com/m/extreme_ops/
Eye of the Beholder,33,9,1999,http://www.rottentomatoes.com/m/1094646-eye_of_the_beholder/
Chatroom,34,10,2010,http://www.rottentomatoes.com/m/chatroom_2010/
Hoodwinked Too! Hood vs Evil,35,11,2011,http://www.rottentomatoes.com/m/hoodwinked_too_hood_vs_evil/
Stolen,37,13,2012,http://www.rottentomatoes.com/m/stolen_2012/
Air America,37,13,1990,http://www.rottentomatoes.com/m/air_america/
Mr. Baseball,37,13,1992,http://www.rottentomatoes.com/m/mr_baseball/
The Love Guru,38,14,2008,http://www.rottentomatoes.com/m/love_guru/
Driven,38,14,2001,http://www.rottentomatoes.com/m/1107198-driven/
Playing God,38,14,1997,http://www.rottentomatoes.com/m/playing_god/
Armed and Dangerous,38,14,1986,http://www.rottentomatoes.com/m/1001180-armed_and_dangerous/
A Nightmare on Elm Street,39,15,2010,http://www.rottentomatoes.com/m/nightmare_on_elm_street_2010/
Striking Distance,39,15,1993,http://www.rottentomatoes.com/m/striking_distance/
Her Alibi,39,15,1989,http://www.rottentomatoes.com/m/her_alibi/
Baby - Secret of the Lost Legend,39,15,1985,http://www.rottentomatoes.com/m/baby_secret_of_the_lost_legend/
The Astronauts Wife,40,16,1999,http://www.rottentomatoes.com/m/astronauts_wife/
Paparazzi,42,18,2004,http://www.rottentomatoes.com/m/paparazzi/
The Fourth Kind,43,19,2009,http://www.rottentomatoes.com/m/fourth_kind/
Righteous Kill,43,19,2008,http://www.rottentomatoes.com/m/righteous_kill/
Judy Moody and the NOT Bummer Summer,43,19,2011,http://www.rottentomatoes.com/m/judy_moody_and_the_not_bummer_summer/
Jungle 2 Jungle,44,20,1997,http://www.rottentomatoes.com/m/jungle_2_jungle/
Little Black Book,45,21,2004,http://www.rottentomatoes.com/m/little_black_book/
Bones,46,22,2001,http://www.rottentomatoes.com/m/bones/
Sucker Punch,47,23,2011,http://www.rottentomatoes.com/m/sucker-punch-2010/
The Raven,47,23,2012,http://www.rottentomatoes.com/m/the_raven_2012/
The Decoy Bride,47,23,2012,http://www.rottentomatoes.com/m/the_decoy_bride/
Passenger 57,47,23,1992,http://www.rottentomatoes.com/m/passenger_57/
Antitrust,48,24,2001,http://www.rottentomatoes.com/m/antitrust/
Nightwatch,48,24,1998,http://www.rottentomatoes.com/m/1082428-nightwatch/
Hellraiser - Bloodline,49,25,1996,http://www.rottentomatoes.com/m/hellraiser-bloodline/
Under Suspicion,49,25,1992,http://www.rottentomatoes.com/m/1038316-under_suspicion/
Half Light,49,25,2005,http://www.rottentomatoes.com/m/half-light/
The Flight of the Intruder,49,25,1990,http://www.rottentomatoes.com/m/flight_of_the_intruder/
Fun Size,50,26,2012,http://www.rottentomatoes.com/m/fun_size/
The Shaggy Dog,50,26,2006,http://www.rottentomatoes.com/m/shaggy_dog/
High School,51,27,2012,http://www.rottentomatoes.com/m/10012150-high_school/
200 Cigarettes,53,29,1999,http://www.rottentomatoes.com/m/200_cigarettes/
Running With Scissors,54,30,2003,http://www.rottentomatoes.com/m/running_with_scissors/
Crazy in Alabama,55,31,1999,http://www.rottentomatoes.com/m/crazy_in_alabama/
Wild Target,56,32,2010,http://www.rottentomatoes.com/m/wild_target/
Dance with the Devil (Perdita Durango),57,33,1997,http://www.rottentomatoes.com/m/dance_with_the_devil/
Surviving Picasso,57,33,1996,http://www.rottentomatoes.com/m/surviving_picasso/
The Hangover Part II,58,34,2011,http://www.rottentomatoes.com/m/the_hangover_2/
The Man Who Cried,59,35,2000,http://www.rottentomatoes.com/m/man_who_cried/
Passchendaele,60,36,2008,http://www.rottentomatoes.com/m/1218219-passchendaele/
A Chorus Line,62,38,1985,http://www.rottentomatoes.com/m/chorus_line/
2012,63,39,2009,http://www.rottentomatoes.com/m/2012/
Just One of the Guys,64,40,1985,http://www.rottentomatoes.com/m/just_one_of_the_guys/
Angus,64,40,1995,http://www.rottentomatoes.com/m/angus/
The Longshots,64,40,2008,http://www.rottentomatoes.com/m/longshots/
Onegin,67,43,1999,http://www.rottentomatoes.com/m/1093905-onegin/
My Life,68,44,1993,http://www.rottentomatoes.com/m/my_life/
50 First Dates,68,44,2004,http://www.rottentomatoes.com/m/50_first_dates/
French Kiss,69,45,1995,http://www.rottentomatoes.com/m/french_kiss/
A Home of Our Own,69,45,1993,http://www.rottentomatoes.com/m/1046076-home_of_our_own/
Hidalgo,70,46,2004,http://www.rottentomatoes.com/m/hidalgo/
The A-Team,71,47,2010,http://www.rottentomatoes.com/m/a_team/
In the Mouth of Madness,71,47,1994,http://www.rottentomatoes.com/m/in_the_mouth_of_madness/
PCU,71,47,1994,http://www.rottentomatoes.com/m/pcu/
The Princess Diaries,71,47,2001,http://www.rottentomatoes.com/m/princess_diaries/
Not Without My Daughter,71,47,1990,http://www.rottentomatoes.com/m/not_without_my_daughter/
Cant Buy Me Love,72,48,1987,http://www.rottentomatoes.com/m/cant_buy_me_love/
Legend,72,48,1986,http://www.rottentomatoes.com/m/1012164-legend/
Harrisons Flowers,73,49,2000,http://www.rottentomatoes.com/m/harrisons_flowers/
Now You See Me,74,50,2013,http://www.rottentomatoes.com/m/now_you_see_me/
Higher Learning,74,50,1995,http://www.rottentomatoes.com/m/higher_learning/
Desert Flower,74,50,2009,http://www.rottentomatoes.com/m/joannas-flower-power-flower-design2007/
Manderlay,75,51,2005,http://www.rottentomatoes.com/m/manderlay/
The Transporter,78,54,2002,http://www.rottentomatoes.com/m/transporter/
Pitch Black,79,55,2000,http://www.rottentomatoes.com/m/pitch_black/
Maos Last Dancer,79,55,2010,http://www.rottentomatoes.com/m/maos_last_dancer/
New Jersey Drive,80,56,1995,http://www.rottentomatoes.com/m/new_jersey_drive/
The Fall,83,59,2006,http://www.rottentomatoes.com/m/the-fall-2008/
Happy Gilmore,83,59,1996,http://www.rottentomatoes.com/m/happy_gilmore/
Old School,84,60,2003,http://www.rottentomatoes.com/m/old_school/
Interview with the Vampire,85,61,1994,http://www.rottentomatoes.com/m/interview_with_the_vampire/
SLC Punk,87,63,1998,http://www.rottentomatoes.com/m/slc_punk/
The Blind Side,90,66,2009,http://www.rottentomatoes.com/m/1212694-blind_side/
Big Bully,23,0,1996,http://www.rottentomatoes.com/m/big_bully/
"Car 54, Where Are You?",23,0,1994,http://www.rottentomatoes.com/m/car_54_where_are_you/
I Know Who Killed Me,29,6,2007,http://www.rottentomatoes.com/m/i_know_who_killed_me/
Body of Evidence,29,6,1993,http://www.rottentomatoes.com/m/body_of_evidence/
A Kid in King Arthurs Court,29,6,1995,http://www.rottentomatoes.com/m/kid_in_king_arthurs_court/
Envy,30,7,2004,http://www.rottentomatoes.com/m/1131155-envy/
Knock Off,31,8,1998,http://www.rottentomatoes.com/m/knock_off/
Bangkok Dangerous,32,9,2008,http://www.rottentomatoes.com/m/bangkok_dangerous/
The Tie That Binds,33,10,1995,http://www.rottentomatoes.com/m/tie_that_binds/
8 Heads in a Duffel Bag,34,11,1997,http://www.rottentomatoes.com/m/8_heads_in_a_duffel_bag/
Another You,34,11,1991,http://www.rottentomatoes.com/m/another_you/
Calendar Girl,34,11,1993,http://www.rottentomatoes.com/m/1045706-calendar_girl/
Hanging Up,35,12,2000,http://www.rottentomatoes.com/m/hanging_up/
Yogi Bear,36,13,2010,http://www.rottentomatoes.com/m/yogi-bear/
Poltergeist III,36,13,1988,http://www.rottentomatoes.com/m/poltergeist_iii/
Avenging Angelo,36,13,2002,http://www.rottentomatoes.com/m/1121133-avenging_angelo/
Small Apartments,37,14,2013,http://www.rottentomatoes.com/m/small_apartments_2012/
I Love You Beth Cooper,37,14,2009,http://www.rottentomatoes.com/m/1198658-i_love_you_beth_cooper/
Cat Run,37,14,2011,http://www.rottentomatoes.com/m/cat_run/
Most Wanted,39,16,1997,http://www.rottentomatoes.com/m/1079025-most_wanted/
Flypaper,40,17,2011,http://www.rottentomatoes.com/m/flypaper_2011/
The Medallion,41,18,2003,http://www.rottentomatoes.com/m/medallion/
Chapter 27,41,18,2006,http://www.rottentomatoes.com/m/1193377-chapter_27/
Joes Apartment,42,19,1996,http://www.rottentomatoes.com/m/joes_apartment/
Thunderbirds,43,20,2004,http://www.rottentomatoes.com/m/thunderbirds/
Duets,43,20,2000,http://www.rottentomatoes.com/m/1100086-duets/
Life Stinks,43,20,1991,http://www.rottentomatoes.com/m/life_stinks/
The Tourist,43,20,2010,http://www.rottentomatoes.com/m/tourist/
H2: Halloween II,44,21,2009,http://www.rottentomatoes.com/m/h2_halloween_2/
Captain Ron,44,21,1992,http://www.rottentomatoes.com/m/captain_ron/
Planet 51,45,22,2009,http://www.rottentomatoes.com/m/planet_51/
Little Ashes,47,24,2008,http://www.rottentomatoes.com/m/little_ashes/
The Change-Up,48,25,2011,http://www.rottentomatoes.com/m/the_change_up/
Taking Care of Business,48,25,1990,http://www.rottentomatoes.com/m/taking_care_of_business/
Wrath of the Titans,49,26,2012,http://www.rottentomatoes.com/m/clash_of_the_titans_2/
The Golden Child,49,26,1986,http://www.rottentomatoes.com/m/golden_child/
Invasion U.S.A.,50,27,1985,http://www.rottentomatoes.com/m/1010685-invasion_usa/
Drive Me Crazy,51,28,1999,http://www.rottentomatoes.com/m/drive_me_crazy/
The Final Destination,52,29,2009,http://www.rottentomatoes.com/m/final_destination_final_death_trip_3D/
Bubble Boy,52,29,2001,http://www.rottentomatoes.com/m/bubble_boy/
Shrink,52,29,2008,http://www.rottentomatoes.com/m/10011435-shrink/
Chromophobia,54,31,2005,http://www.rottentomatoes.com/m/chromophobia/
The Libertine,56,33,2004,http://www.rottentomatoes.com/m/libertine/
"The Very Thought of You (Martha, Meet Frank, Daniel and Laurence)",56,33,1998,http://www.rottentomatoes.com/m/very_thought_of_you/
Must Love Dogs,57,34,2005,http://www.rottentomatoes.com/m/must_love_dogs/
The Burning Plain,57,34,2008,http://www.rottentomatoes.com/m/burning_plain/
2 Fast 2 Furious,59,36,2003,http://www.rottentomatoes.com/m/2_fast_2_furious/
Shark Tale,59,36,2004,http://www.rottentomatoes.com/m/shark_tale/
Quest For Camelot,59,36,1998,http://www.rottentomatoes.com/m/quest_for_camelot/
Young People Fucking (Y.P.F.),60,37,2007,http://www.rottentomatoes.com/m/young_people_fucking/
Wrong Turn,63,40,2003,http://www.rottentomatoes.com/m/wrong_turn/
Wide Awake,63,40,1998,http://www.rottentomatoes.com/m/1082432-wide_awake/
No Reservations,64,41,2007,http://www.rottentomatoes.com/m/no_reservations/
The Other Boleyn Girl,65,42,2008,http://www.rottentomatoes.com/m/other_boleyn_girl/
Anger Management,66,43,2003,http://www.rottentomatoes.com/m/1121649-anger_management/
Secret Window,69,46,2004,http://www.rottentomatoes.com/m/secret_window/
Final Destination 2,70,47,2003,http://www.rottentomatoes.com/m/final_destination_2/
Heaven & Earth,70,47,1993,http://www.rottentomatoes.com/m/1048333-heaven_and_earth/
Bamboozled,71,48,2000,http://www.rottentomatoes.com/m/bamboozled/
Life,73,50,1999,http://www.rottentomatoes.com/m/1086991-life/
Waking the Dead,74,51,1999,http://www.rottentomatoes.com/m/waking_the_dead/
American Pie 2,75,52,2001,http://www.rottentomatoes.com/m/american_pie_2/
Jay and Silent Bob Strike Back,77,54,2001,http://www.rottentomatoes.com/m/jay_and_silent_bob_strike_back/
Blade,78,55,1998,http://www.rottentomatoes.com/m/1083484-blade/
Cannibal! The Musical (Alferd Packer: The Musical),79,56,1996,http://www.rottentomatoes.com/m/cannibal_the_musical/
Chaplin,80,57,1992,http://www.rottentomatoes.com/m/chaplin/
Secondhand Lions,82,59,2003,http://www.rottentomatoes.com/m/secondhand_lions/
Lord of War,84,61,2005,http://www.rottentomatoes.com/m/lord_of_war/
Hachi: A Dogs Tale,85,62,2009,http://www.rottentomatoes.com/m/hachi_a_dogs_tale/
Clue,85,62,1985,http://www.rottentomatoes.com/m/clue/
The Sandlot,86,63,1993,http://www.rottentomatoes.com/m/sandlot/
Steel Magnolias,88,65,1989,http://www.rottentomatoes.com/m/steel_magnolias/
A Room for Romeo Brass,91,68,1999,http://www.rottentomatoes.com/m/room_for_romeo_brass/
The Shadow Conspiracy,22,0,1997,http://www.rottentomatoes.com/m/shadow_conspiracy/
The Suburbans,22,0,1999,http://www.rottentomatoes.com/m/suburbans/
Son of the Mask,28,6,2005,http://www.rottentomatoes.com/m/son_of_the_mask/
Post Grad,30,8,2009,http://www.rottentomatoes.com/m/post_grad/
Dylan Dog: Dead of Night,30,8,2011,http://www.rottentomatoes.com/m/dead-of-night-2009/
My Bosss Daughter,31,9,2003,http://www.rottentomatoes.com/m/my_bosss_daughter/
Captivity,31,9,2007,http://www.rottentomatoes.com/m/captivity/
Celtic Pride,31,9,1996,http://www.rottentomatoes.com/m/celtic_pride/
Season of the Witch,32,10,2011,http://www.rottentomatoes.com/m/10010694-season_of_the_witch/
Hell Ride,32,10,2008,http://www.rottentomatoes.com/m/1192781-hell_ride/
Diabolique,34,12,1996,http://www.rottentomatoes.com/m/1069985-diabolique/
Speechless,34,12,1994,http://www.rottentomatoes.com/m/speechless/
Against the Ropes,34,12,2004,http://www.rottentomatoes.com/m/against_the_ropes/
Mr. Woodcock,35,13,2007,http://www.rottentomatoes.com/m/mr_woodcock/
Embrace of the Vampire,35,13,1994,http://www.rottentomatoes.com/m/embrace_of_the_vampire/
Nomads,35,13,1986,http://www.rottentomatoes.com/m/nomads/
