TITLE,USER RATING,CRITCS RATING,YEAR,RT URL
Passion,82,25,2013,http://www.rottentomatoes.com/m/passion_2012/
Stomp the Yard,83,26,2007,http://www.rottentomatoes.com/m/stomp_the_yard/
8 Seconds,88,31,1994,http://www.rottentomatoes.com/m/8_seconds/
Good Luck Chuck,61,5,2007,http://www.rottentomatoes.com/m/good_luck_chuck/
Dragonfly,63,7,2002,http://www.rottentomatoes.com/m/dragonfly/
A Night at the Roxbury,67,11,1998,http://www.rottentomatoes.com/m/night_at_the_roxbury/
Little Man,68,12,2006,http://www.rottentomatoes.com/m/little_man/
Safe Haven,69,13,2013,http://www.rottentomatoes.com/m/safe_haven/
Transformers: Revenge of the Fallen,76,20,2009,http://www.rottentomatoes.com/m/transformers_revenge_of_the_fallen/
Honey,76,20,2003,http://www.rottentomatoes.com/m/honey/
Courageous,86,30,2011,http://www.rottentomatoes.com/m/courageous/
Redline,55,0,2007,http://www.rottentomatoes.com/m/redline/
All I Want for Christmas,55,0,1991,http://www.rottentomatoes.com/m/1039460-all_i_want_for_christmas/
American Anthem,55,0,1986,http://www.rottentomatoes.com/m/1000792-american_anthem/
Until September,55,0,1984,http://www.rottentomatoes.com/m/until_september/
"Big Mommas: Like Father, Like Son",60,5,2011,http://www.rottentomatoes.com/m/big_mommas_like_father_like_son_2011/
Cocktail,60,5,1988,http://www.rottentomatoes.com/m/1004420-cocktail/
It Takes Two,63,8,1995,http://www.rottentomatoes.com/m/1067137-it_takes_two/
A Man Apart,66,11,2006,http://www.rottentomatoes.com/m/man_apart/
Love Dont Cost a Thing,68,13,2003,http://www.rottentomatoes.com/m/love_dont_cost_a_thing/
The Ugly Truth,68,13,2009,http://www.rottentomatoes.com/m/ugly_truth/
Four Rooms,69,14,1995,http://www.rottentomatoes.com/m/four_rooms/
Harlem Nights,76,21,1989,http://www.rottentomatoes.com/m/harlem_nights/
Beaches,84,29,1988,http://www.rottentomatoes.com/m/beaches/
Politiki Kouzina (A Touch of Spice),86,31,2003,http://www.rottentomatoes.com/m/politiki-kouzina-a-touch-of-spice/
The Five Heartbeats,93,38,1991,http://www.rottentomatoes.com/m/five_heartbeats/
The Wash,62,8,2001,http://www.rottentomatoes.com/m/1110236-wash/
Temptation,70,16,2013,http://www.rottentomatoes.com/m/temptation_2013/
Saw IV,70,16,2007,http://www.rottentomatoes.com/m/saw_4/
Wicker Park,77,23,2004,http://www.rottentomatoes.com/m/wicker_park/
Patch Adams,77,23,1998,http://www.rottentomatoes.com/m/patch_adams/
An American Crime,77,23,2007,http://www.rottentomatoes.com/m/american_crime/
Gone in 60 Seconds (Gone in Sixty Seconds),79,25,2000,http://www.rottentomatoes.com/m/1097865-gone_in_60_seconds/
Daddys Little Girls,80,26,2007,http://www.rottentomatoes.com/m/daddys_little_girls/
Step Up 2 the Streets,81,27,2008,http://www.rottentomatoes.com/m/step_up_2_the_streets/
Super Troopers,89,35,2002,http://www.rottentomatoes.com/m/super_troopers/
Two Moon Junction,53,0,1988,http://www.rottentomatoes.com/m/two_moon_junction/
Plump Fiction,53,0,1998,http://www.rottentomatoes.com/m/plump-fiction/
That Was Then... This Is Now,53,0,1985,http://www.rottentomatoes.com/m/that-was-then-this-is-now/
Material Girls,57,4,2006,http://www.rottentomatoes.com/m/material_girls/
Supercross,59,6,2005,http://www.rottentomatoes.com/m/supercross/
The Number 23,61,8,2007,http://www.rottentomatoes.com/m/the_number_23/
Are We Done Yet?,61,8,2007,http://www.rottentomatoes.com/m/are_we_done_yet/
American Outlaws,67,14,2001,http://www.rottentomatoes.com/m/american_outlaws/
Scary Movie 2,68,15,2001,http://www.rottentomatoes.com/m/scary_movie_2/
Queen of the Damned,70,17,2002,http://www.rottentomatoes.com/m/queen_of_the_damned/
With Honors,70,17,1994,http://www.rottentomatoes.com/m/with_honors/
"See No Evil, Hear No Evil",71,18,1989,http://www.rottentomatoes.com/m/see_no_evil_hear_no_evil/
Practical Magic,73,20,1998,http://www.rottentomatoes.com/m/practical_magic/
Camp Rock,73,20,2008,http://www.rottentomatoes.com/m/camp_rock/
Joshua,75,22,2002,http://www.rottentomatoes.com/m/1113658-joshua/
Half Baked,82,29,1998,http://www.rottentomatoes.com/m/half_baked/
Ulysses Gaze,86,33,1995,http://www.rottentomatoes.com/m/ulysses-gaze/
The Phantom of the Opera,86,33,2005,http://www.rottentomatoes.com/m/phantom_of_the_opera/
I Am Sam,87,34,2001,http://www.rottentomatoes.com/m/i_am_sam/
National Lampoons Senior Trip,52,0,1995,http://www.rottentomatoes.com/m/national_lampoons_senior_trip/
My Babys Daddy,56,4,2003,http://www.rottentomatoes.com/m/my_babys_daddy/
Johnson Family Vacation,58,6,2004,http://www.rottentomatoes.com/m/johnson_family_vacation/
Mrs. Winterbourne,59,7,1996,http://www.rottentomatoes.com/m/mrs_winterbourne/
The Pest,61,9,1997,http://www.rottentomatoes.com/m/pest/
Clifford,61,9,1994,http://www.rottentomatoes.com/m/clifford/
Annapolis,62,10,2006,http://www.rottentomatoes.com/m/annapolis/
Joe Dirt,63,11,2001,http://www.rottentomatoes.com/m/joe_dirt/
Kung Pow! Enter the Fist,63,11,2002,http://www.rottentomatoes.com/m/kung_pow/
