Instituição,Programa,Nível,Sigla,Tem doutorado,Docentes colaboradores,Docentes permanentes,Docentes visitantes,Resumos em conf,Resumos expandidos em conf,Artigos em conf,Dissertacoes,Teses,periodicos_A1,periodicos_A2,periodicos_B1,periodicos_B2,periodicos_B3,periodicos_B4,periodicos_B5,periodicos_C ,periodicos_NA,per_comaluno_A1,per_comaluno_A2,per_comaluno_B1,per_comaluno_B2,per_comaluno_B3,per_comaluno_B4,per_comaluno_B5,per_comaluno_C ,per_comaluno_NA
UNIVERSIDADE FEDERAL DE SANTA MARIA,INFORMÁTICA (42002010036P3),3,UFSM,Não,0.5,28.5,0.0,48,58,226,83,NA,12,8,20,0,3,2,6,13,31,5,0,1,0,1,0,3,7,11
UNIVERSIDADE FEDERAL DE PELOTAS,COMPUTAÇÃO (42003016038P9),3,UFPEL,Sim,1.5,21.75,0.0,118,179,386,56,NA,12,7,26,1,6,0,14,11,24,1,2,7,1,1,0,4,7,12
UNIVERSIDADE FEDERAL DO RIO GRANDE,COMPUTAÇÃO (42004012022P1),3,FURG,Não,1.5,20.75,0.0,124,70,202,38,NA,11,8,6,0,9,0,10,30,24,1,0,1,0,6,0,1,14,6
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,CIÊNCIA DA COMPUTAÇÃO (42005019016P8),5,PUC/RS,Sim,3.0,23.0,0.0,26,70,445,119,37,27,30,35,7,3,1,7,5,11,11,17,17,1,2,0,2,4,5
UNIVERSIDADE DO VALE DO RIO DOS SINOS,COMPUTAÇÃO APLICADA (42007011006P5),4,UNISINOS,Sim,0.0,14.25,0.0,51,36,217,103,NA,14,10,18,6,3,1,22,16,45,9,3,12,4,2,1,6,6,22
FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,COMPUTAÇÃO APLICADA (42009014011P1),3,FUPF/Prof,Não,1.5,8.25,0.0,6,69,36,10,NA,1,3,0,0,7,4,8,4,13,0,1,0,0,0,0,0,2,5
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,CIÊNCIA DA COMPUTAÇÃO (51001012012P2),4,UFMS,Não,9.75,16.75,0.0,20,12,121,51,NA,15,10,13,8,6,0,4,9,6,1,1,1,1,1,0,1,0,2
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,CIÊNCIA DA COMPUTAÇÃO - UFMS - UFG (51001012028P6),4,UFMS/UFG,Sim,0.0,11.25,2.0,8,16,162,NA,14,14,19,16,9,9,1,6,6,12,1,0,1,0,0,0,3,0,2
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,COMPUTAÇÃO APLICADA (51001012038P1),3,UFMS/CA/Prof,Não,7.0,14.0,0.0,14,16,72,13,NA,1,1,4,2,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDADE FEDERAL DE GOIÁS,CIÊNCIA DA COMPUTAÇÃO (52001016027P2),4,UFG,Não,3.75,31.0,1.0,19,23,238,102,NA,9,16,11,5,9,4,8,12,13,5,6,5,2,4,3,3,9,6
UNIVERSIDADE DE BRASÍLIA,INFORMÁTICA (53001010054P6),4,UNB,Sim,0.25,23.5,0.0,18,12,237,60,13,24,11,30,3,9,3,11,22,10,12,1,14,2,1,3,5,11,7
UNIVERSIDADE DE BRASÍLIA,COMPUTAÇÃO APLICADA (53001010098P3),3,UNB/CA/Prof,Não,9.0,14.75,0.0,1,4,76,50,NA,0,0,0,0,1,1,3,3,5,0,0,0,0,1,1,0,0,0
