repository_language,type,active_repos_by_url,events,year,quarter
VimL,CreateEvent,30,31,2014,3
Logtalk,PushEvent,1,252,2014,3
Dylan,PushEvent,35,209,2014,3
Mathematica,CreateEvent,2,2,2014,4
Dylan,ForkEvent,8,10,2014,4
Max,WatchEvent,100,213,2014,4
Bison,PushEvent,126,786,2014,4
SQL,WatchEvent,58,188,2014,3
wisp,WatchEvent,5,103,2014,4
Forth,ForkEvent,12,14,2014,4
OpenSCAD,ForkEvent,61,107,2014,4
Bro,WatchEvent,41,124,2014,4
Standard ML,ForkEvent,54,96,2014,4
OpenSCAD,IssuesEvent,17,55,2014,4
Cuda,IssuesEvent,23,82,2014,3
XML,PushEvent,15,551,2014,3
Pure Data,WatchEvent,57,97,2014,3
VHDL,WatchEvent,118,433,2014,3
Xtend,IssuesEvent,10,88,2014,3
Objective-J,ForkEvent,27,40,2014,4
LoomScript,WatchEvent,2,3,2014,4
Boo,ForkEvent,11,24,2014,4
Hack,IssuesEvent,2,2,2014,4
Prolog,IssuesEvent,33,152,2014,3
Slash,PushEvent,16,99,2014,4
Boo,IssuesEvent,1,7,2014,3
wisp,WatchEvent,5,54,2014,3
Scheme,ForkEvent,315,913,2014,2
Haskell,ForkEvent,1347,2991,2014,2
Haxe,IssuesEvent,157,1179,2014,2
Brightscript,PushEvent,40,354,2014,2
Squirrel,ForkEvent,23,38,2014,2
Matlab,IssuesEvent,1,1,2015,1
Cool,PushEvent,1,2,2015,1
Objective-J,PushEvent,1,1,2015,1
ASP,ForkEvent,1,1,2015,1
OCaml,ForkEvent,2,2,2015,1
Elm,IssuesEvent,1,1,2015,1
Jasmin,PushEvent,1,1,2015,1
APL,PushEvent,4,8,2014,3
XSLT,CreateEvent,2,2,2014,3
EmberScript,WatchEvent,2,2,2014,4
Self,ForkEvent,3,6,2014,3
Glyph,ForkEvent,3,4,2014,3
Xtend,WatchEvent,25,53,2014,2
Clean,ForkEvent,1,1,2014,3
Augeas,WatchEvent,3,28,2014,2
PogoScript,IssuesEvent,1,1,2014,4
XProc,IssuesEvent,3,12,2014,2
C,WatchEvent,19865,120413,2014,1
PHP,WatchEvent,31532,146567,2014,1
Java,ForkEvent,34101,113883,2014,1
C++,ForkEvent,13960,41250,2014,1
UnrealScript,PushEvent,91,1316,2014,1
Dart,PushEvent,1672,16533,2014,1
Groovy,IssuesEvent,499,2254,2014,1
F#,ForkEvent,169,521,2014,1
XSLT,IssuesEvent,175,1305,2014,1
AppleScript,PushEvent,345,1819,2014,1
Matlab,ForkEvent,553,1105,2014,1
Vala,IssuesEvent,41,364,2014,1
HaXe,IssuesEvent,20,40,2014,1
KRL,ForkEvent,29,34,2014,1
Zephir,PushEvent,7,75,2014,2
Oxygene,IssuesEvent,3,3,2014,2
JavaScript,ForkEvent,27640,118253,2012,4
CSS,PushEvent,59770,504337,2013,3
C#,IssuesEvent,1155,23541,2012,2
Haskell,PushEvent,3647,57263,2012,3
PHP,IssuesEvent,1609,18747,2012,1
Lua,PushEvent,4198,39779,2013,2
Perl,IssuesEvent,1316,5566,2013,3
Common Lisp,PushEvent,813,14486,2012,2
Java,WatchEvent,15726,65707,2012,4
Ada,PushEvent,76,2197,2012,2
Arduino,PushEvent,2123,10214,2013,3
LiveScript,PushEvent,223,2071,2013,4
Java,IssuesEvent,7132,82453,2013,1
Common Lisp,PushEvent,1202,9144,2013,2
FORTRAN,PushEvent,433,4298,2012,4
Standard ML,PushEvent,132,18608,2013,2
Dart,PushEvent,947,9184,2013,2
OCaml,ForkEvent,129,443,2012,3
BlitzBasic,PushEvent,93,781,2013,4
Python,ForkEvent,17979,53452,2013,1
Verilog,PushEvent,62,1782,2012,1
C#,IssuesEvent,1887,19240,2013,1
Perl,IssuesEvent,880,4236,2012,4
PowerShell,PushEvent,456,4075,2012,3
Clojure,ForkEvent,782,3818,2012,3
Logos,PushEvent,368,2800,2013,1
Visual Basic,ForkEvent,59,281,2012,2
Erlang,IssuesEvent,178,2033,2012,2
Erlang,IssuesEvent,241,935,2013,2
AutoHotkey,PushEvent,290,2161,2013,4
Haskell,IssuesEvent,561,2791,2013,3
Racket,IssuesEvent,59,246,2013,4
Vala,WatchEvent,65,627,2013,2
VHDL,IssuesEvent,17,166,2013,4
DCPU-16 ASM,WatchEvent,41,948,2012,2
Prolog,PushEvent,79,2052,2012,1
FORTRAN,PushEvent,634,6612,2013,2
Prolog,PushEvent,299,3964,2012,3
Common Lisp,ForkEvent,234,808,2012,3
Nu,WatchEvent,11,25,2012,3
AppleScript,PushEvent,34,359,2012,3
Scilab,PushEvent,45,279,2012,4
R,ForkEvent,307,671,2012,4
OpenEdge ABL,IssuesEvent,3,172,2012,4
Coq,PushEvent,123,1570,2013,3
ActionScript,IssuesEvent,188,914,2012,4
Nemerle,ForkEvent,16,33,2013,2
D,ForkEvent,118,316,2012,4
OCaml,ForkEvent,288,551,2013,4
Matlab,WatchEvent,208,421,2013,1
Racket,IssuesEvent,39,179,2013,2
Tcl,WatchEvent,68,153,2013,3
AutoHotkey,ForkEvent,12,204,2012,2
Slash,IssuesEvent,4,50,2013,3
Gosu,IssuesEvent,5,21,2013,1
Elixir,WatchEvent,6,219,2012,1
Dylan,IssuesEvent,2,11,2012,4
Bluespec,WatchEvent,4,5,2014,2
JavaScript,CreateEvent,164,165,2012,4
C,CreateEvent,70,72,2013,2
Ecl,PushEvent,9,83,2013,2
VHDL,WatchEvent,50,98,2013,1
Go,IssuesEvent,46,255,2012,1
Dylan,PushEvent,28,212,2013,2
SuperCollider,WatchEvent,21,56,2012,3
Delphi,IssuesEvent,4,102,2012,1
Gosu,PushEvent,94,569,2013,3
Arc,PushEvent,17,242,2012,2
Objective-J,IssuesEvent,8,298,2013,1
ANTLR,IssuesEvent,3,5,2014,2
Elixir,ForkEvent,126,364,2013,4
Arc,PushEvent,8,90,2012,1
CLIPS,PushEvent,18,73,2013,4
F#,IssuesEvent,32,243,2013,1
Vala,WatchEvent,56,116,2012,4
AutoHotkey,ForkEvent,53,81,2013,2
XSLT,ForkEvent,38,68,2013,2
ColdFusion,WatchEvent,163,317,2013,4
AutoHotkey,WatchEvent,97,210,2013,2
AutoHotkey,IssuesEvent,36,122,2013,3
VHDL,ForkEvent,33,47,2012,4
Rouge,WatchEvent,1,1,2014,3
Kotlin,WatchEvent,11,101,2012,2
AppleScript,IssuesEvent,20,43,2013,2
Smalltalk,ForkEvent,30,52,2013,3
XQuery,WatchEvent,24,45,2012,4
C,CreateEvent,44,96,2012,3
Rebol,WatchEvent,2,87,2012,1
XQuery,WatchEvent,7,30,2012,1
COBOL,PushEvent,22,96,2013,4
AppleScript,IssuesEvent,16,45,2013,3
Scilab,ForkEvent,11,27,2013,2
Nu,WatchEvent,17,21,2013,4
Ioke,WatchEvent,2,2,2013,1
Matlab,CreateEvent,3,9,2012,2
Ruby,CreateEvent,113,113,2013,1
Nu,PushEvent,7,23,2013,4
Tcl,IssuesEvent,16,78,2013,1
Rebol,PushEvent,6,117,2012,1
Prolog,CreateEvent,2,2,2012,4
ColdFusion,CreateEvent,2,2,2012,4
ColdFusion,CreateEvent,3,10,2012,3
Groovy,CreateEvent,6,17,2012,2
Gosu,IssuesEvent,11,37,2013,4
wisp,PushEvent,3,35,2013,4
ooc,IssuesEvent,1,3,2012,2
Turing,PushEvent,5,9,2013,4
Ada,WatchEvent,14,35,2012,3
Standard ML,IssuesEvent,7,25,2013,1
Go,CreateEvent,10,10,2013,3
Kotlin,PushEvent,1,12,2012,1
Slash,ForkEvent,7,14,2013,4
Self,WatchEvent,4,9,2013,3
SuperCollider,ForkEvent,8,8,2012,4
Coq,ForkEvent,13,19,2013,2
eC,ForkEvent,1,3,2012,2
CoffeeScript,CreateEvent,2,6,2012,1
Eiffel,ForkEvent,11,13,2013,2
SuperCollider,CreateEvent,2,2,2013,3
Pure Data,CreateEvent,2,3,2012,3
Turing,WatchEvent,2,2,2013,4
Assembly,CreateEvent,1,1,2013,2
CLIPS,ForkEvent,1,1,2013,4
Fancy,WatchEvent,1,9,2013,4
Assembly,CreateEvent,2,2,2013,4
Visual Basic,CreateEvent,2,2,2013,4
TXL,WatchEvent,1,1,2014,2
D,CreateEvent,1,2,2012,3
Rust,CreateEvent,1,1,2012,4
Fancy,ForkEvent,1,2,2012,4
Standard ML,CreateEvent,1,1,2014,1
Pike,ForkEvent,1,1,2014,2
F#,CreateEvent,1,1,2013,4
Monkey,IssuesEvent,1,1,2013,3
Mirah,ForkEvent,1,1,2013,2
Python,PushEvent,142272,1616028,2014,3
Emacs Lisp,ForkEvent,977,2597,2014,3
C#,IssuesEvent,4363,32947,2014,3
OCaml,PushEvent,1361,15773,2014,3
PHP,IssuesEvent,15727,81915,2014,3
JavaScript,IssuesEvent,33453,189867,2014,2
Groovy,PushEvent,5177,39702,2014,2
Nemerle,PushEvent,87,1226,2014,2
Swift,WatchEvent,2609,43215,2014,4
C++,ForkEvent,18903,57173,2014,4
Go,WatchEvent,9756,124950,2014,4
Nix,PushEvent,323,7738,2014,4
R,IssuesEvent,1226,6072,2014,4
Nimrod,PushEvent,178,1073,2014,4
Coq,IssuesEvent,17,123,2014,4
SQL,PushEvent,82,2493,2014,4
Haxe,ForkEvent,1,1,2015,1
VimL,WatchEvent,3655,28692,2014,3
LiveScript,PushEvent,219,8134,2014,3
IDL,PushEvent,670,4822,2014,3
Slash,PushEvent,25,131,2014,3
Scheme,PushEvent,1639,12729,2014,3
Elm,PushEvent,128,1188,2014,3
F#,ForkEvent,220,660,2014,4
Nemerle,WatchEvent,18,174,2014,4
Ruby,CreateEvent,581,597,2014,3
Common Lisp,IssuesEvent,174,682,2014,3
AppleScript,PushEvent,249,1059,2014,3
Smalltalk,PushEvent,191,1971,2014,4
Pascal,WatchEvent,319,783,2014,4
Inform 7,WatchEvent,8,17,2014,4
C++,CreateEvent,149,151,2014,4
NetLogo,PushEvent,52,442,2014,3
Idris,WatchEvent,39,219,2014,3
Processing,IssuesEvent,55,212,2014,3
KRL,PushEvent,5,822,2014,3
Propeller Spin,PushEvent,57,1318,2014,3
ColdFusion,IssuesEvent,46,263,2014,4
Processing,CreateEvent,19,19,2014,4
PureBasic,PushEvent,5,23,2014,4
Game Maker Language,ForkEvent,31,70,2014,4
wisp,IssuesEvent,5,18,2014,3
Gnuplot,WatchEvent,13,32,2014,3
Stata,IssuesEvent,18,77,2014,3
XQuery,ForkEvent,42,64,2014,3
AspectJ,IssuesEvent,3,20,2014,3
Zephir,ForkEvent,13,17,2014,3
Grammatical Framework,PushEvent,12,113,2014,3
Slash,IssuesEvent,3,3,2014,3
Self,PushEvent,4,11,2014,3
Grammatical Framework,ForkEvent,7,10,2014,3
Lua,IssuesEvent,668,4144,2014,2
Perl,IssuesEvent,1479,5413,2014,2
Elixir,ForkEvent,191,542,2014,2
IDL,PushEvent,677,4652,2014,2
Mercury,PushEvent,96,889,2014,2
AutoIt,ForkEvent,36,114,2014,2
ASP,WatchEvent,132,224,2014,2
Boo,IssuesEvent,1,2,2014,4
Self,WatchEvent,2,11,2014,4
SuperCollider,PushEvent,57,699,2014,2
Mercury,WatchEvent,8,55,2014,2
Processing,IssuesEvent,85,282,2014,2
AppleScript,PushEvent,2,4,2015,1
Matlab,ForkEvent,4,4,2015,1
Delphi,ForkEvent,1,1,2015,1
SourcePawn,ForkEvent,10,17,2014,2
Red,WatchEvent,3,25,2014,2
Pike,IssuesEvent,1,1,2014,2
Kotlin,WatchEvent,46,163,2014,2
Nemerle,IssuesEvent,9,43,2014,2
XProc,ForkEvent,3,5,2014,3
Glyph,ForkEvent,1,1,2014,4
Erlang,CreateEvent,2,2,2014,4
LOLCODE,WatchEvent,1,1,2014,4
Dylan,IssuesEvent,2,4,2014,3
Harbour,WatchEvent,1,1,2014,4
DCPU-16 ASM,WatchEvent,7,11,2014,2
JSONiq,ForkEvent,7,7,2014,3
TeX,PushEvent,9149,106477,2014,1
Python,IssuesEvent,13684,91368,2014,1
OCaml,WatchEvent,574,1970,2014,1
M,PushEvent,243,1532,2014,1
Rust,WatchEvent,385,2879,2014,1
Perl6,PushEvent,69,700,2014,1
Factor,PushEvent,21,263,2014,1
eC,WatchEvent,22,22,2014,1
D,WatchEvent,610,1796,2014,1
Dart,ForkEvent,431,1131,2014,1
ooc,WatchEvent,31,36,2014,1
VHDL,IssuesEvent,142,278,2014,1
Kotlin,WatchEvent,32,148,2014,1
XML,ForkEvent,48,79,2014,1
REALbasic,WatchEvent,26,39,2014,1
Omgrofl,ForkEvent,3,3,2014,1
Fancy,WatchEvent,18,34,2014,1
Opa,PushEvent,4,6,2014,2
Oxygene,PushEvent,6,43,2014,2
Ecl,ForkEvent,4,5,2014,1
DOT,IssuesEvent,17,66,2014,2
Fancy,WatchEvent,2,6,2014,2
Slash,IssuesEvent,4,10,2014,1
SAS,ForkEvent,6,6,2014,2
Self,PushEvent,3,9,2014,2
JSONiq,IssuesEvent,2,4,2014,2
Java,WatchEvent,26426,114581,2013,2
OCaml,IssuesEvent,120,817,2013,2
C#,PushEvent,24875,221462,2013,2
Python,PushEvent,61663,601548,2012,4
Java,PushEvent,58012,1201917,2012,3
C++,ForkEvent,7221,22645,2013,1
VimL,WatchEvent,3189,24311,2013,4
Common Lisp,PushEvent,1044,7247,2013,1
C#,ForkEvent,4625,13171,2013,1
Python,IssuesEvent,8294,51385,2013,1
CoffeeScript,WatchEvent,1533,40112,2012,2
JavaScript,IssuesEvent,3159,47502,2012,1
VimL,WatchEvent,2300,14608,2012,4
D,WatchEvent,423,1338,2013,4
OCaml,PushEvent,1101,11855,2013,3
Arduino,PushEvent,1362,6897,2013,1
Assembly,PushEvent,710,5270,2012,4
ooc,PushEvent,8,456,2012,3
Haxe,WatchEvent,300,1633,2013,3
Dart,IssuesEvent,161,1141,2013,4
Perl,ForkEvent,3023,5932,2013,4
Julia,PushEvent,410,4818,2013,1
FORTRAN,PushEvent,655,6576,2013,3
Common Lisp,IssuesEvent,119,328,2013,3
Delphi,PushEvent,120,3615,2012,1
Go,WatchEvent,1020,12834,2012,2
Vala,WatchEvent,83,904,2013,4
Rust,IssuesEvent,15,593,2012,4
Scala,IssuesEvent,126,1401,2012,1
ASP,PushEvent,511,4965,2013,1
ActionScript,ForkEvent,785,2320,2013,3
Clojure,IssuesEvent,98,867,2012,1
Pure Data,PushEvent,119,823,2013,2
Delphi,IssuesEvent,50,259,2013,1
Processing,PushEvent,246,984,2013,1
Objective-J,WatchEvent,80,224,2013,2
VHDL,IssuesEvent,6,180,2012,2
Puppet,ForkEvent,317,2623,2012,2
Go,ForkEvent,1092,3133,2013,1
Objective-C,CreateEvent,29,90,2012,1
Arduino,WatchEvent,383,794,2013,1
Arduino,PushEvent,164,1932,2012,1
ColdFusion,IssuesEvent,74,809,2013,2
Nu,PushEvent,7,110,2012,3
Visual Basic,ForkEvent,72,251,2012,3
Forth,PushEvent,8,122,2013,3
Pure Data,PushEvent,81,779,2013,3
SuperCollider,WatchEvent,25,48,2013,2
Boo,ForkEvent,5,5,2014,2
AppleScript,PushEvent,92,477,2012,4
Lua,CreateEvent,11,36,2012,3
Io,IssuesEvent,2,27,2012,2
Kotlin,WatchEvent,19,69,2013,2
Coq,WatchEvent,15,65,2012,2
SuperCollider,IssuesEvent,5,29,2012,2
VHDL,ForkEvent,16,37,2012,3
Turing,WatchEvent,5,8,2013,1
eC,PushEvent,4,21,2013,2
Elixir,ForkEvent,21,58,2012,4
DOT,ForkEvent,36,96,2013,4
Pure Data,WatchEvent,37,86,2012,4
Common Lisp,IssuesEvent,34,213,2012,1
AutoHotkey,ForkEvent,60,124,2013,3
Dylan,IssuesEvent,1,133,2012,3
Scala,CreateEvent,10,10,2014,1
Perl,CreateEvent,23,57,2012,3
Rebol,IssuesEvent,1,12,2012,1
Objective-J,ForkEvent,28,83,2013,1
Rebol,ForkEvent,16,57,2012,3
ooc,WatchEvent,3,12,2012,3
Objective-C,CreateEvent,165,167,2013,1
Gosu,PushEvent,7,72,2012,1
ColdFusion,ForkEvent,37,159,2012,1
Dart,CreateEvent,3,3,2013,4
Objective-J,ForkEvent,26,65,2013,4
Emacs Lisp,CreateEvent,6,10,2014,2
Delphi,ForkEvent,16,81,2012,1
Opa,WatchEvent,14,75,2012,1
XProc,WatchEvent,1,1,2014,2
LiveScript,ForkEvent,45,85,2013,4
Rebol,WatchEvent,27,36,2013,4
Processing,IssuesEvent,37,94,2013,3
ABAP,ForkEvent,5,5,2014,2
Kotlin,ForkEvent,13,31,2013,1
Rebol,ForkEvent,7,9,2013,2
Slash,WatchEvent,6,19,2013,3
Monkey,ForkEvent,1,3,2013,3
Rebol,ForkEvent,3,4,2013,4
Pike,ForkEvent,1,1,2014,3
DCPU-16 ASM,WatchEvent,9,16,2013,3
Fancy,WatchEvent,2,13,2012,3
Volt,PushEvent,2,18,2013,4
E,WatchEvent,1,1,2014,3
ABAP,ForkEvent,2,5,2013,4
Scheme,CreateEvent,1,2,2012,2
Ada,ForkEvent,13,16,2013,1
F#,CreateEvent,1,1,2013,1
Clean,PushEvent,5,15,2013,4
Shell,CreateEvent,15,15,2013,1
Agda,IssuesEvent,2,2,2013,4
Opa,WatchEvent,6,12,2013,1
RobotFramework,WatchEvent,2,3,2014,2
IDL,IssuesEvent,3,5,2013,4
Ada,ForkEvent,4,6,2012,3
Rust,CreateEvent,1,1,2013,3
UnrealScript,IssuesEvent,1,1,2013,4
F#,CreateEvent,1,1,2014,2
Max/MSP,WatchEvent,2,4,2012,3
Racket,CreateEvent,2,2,2012,4
eC,PushEvent,3,6,2012,3
Arc,IssuesEvent,1,3,2012,2
Grammatical Framework,ForkEvent,1,2,2014,2
Perl6,ForkEvent,1,1,2013,4
FORTRAN,CreateEvent,1,1,2012,4
J,ForkEvent,1,1,2014,2
Rust,PushEvent,2554,34631,2014,3
VimL,PushEvent,21724,125918,2014,3
Java,CreateEvent,351,382,2014,3
CSS,IssuesEvent,8378,44481,2014,3
Ruby,PushEvent,135781,1103911,2014,2
Scheme,PushEvent,1410,12096,2014,2
VimL,ForkEvent,2088,6708,2014,2
C,WatchEvent,24179,149903,2014,4
TeX,PushEvent,13329,156070,2014,4
Common Lisp,PushEvent,1483,12494,2014,4
VHDL,PushEvent,630,7813,2014,4
TeX,ForkEvent,1474,3706,2014,4
FORTRAN,ForkEvent,210,363,2014,4
Puppet,ForkEvent,1114,2393,2014,4
Apex,PushEvent,361,2868,2014,4
PAWN,PushEvent,89,822,2014,4
xBase,PushEvent,41,1240,2014,4
ColdFusion,PushEvent,352,3627,2014,4
C++,PushEvent,1849,3895,2015,1
Awk,WatchEvent,2,2,2015,1
Dart,PushEvent,29,55,2015,1
Perl,ForkEvent,22,23,2015,1
C++,CreateEvent,2,2,2015,1
F#,IssuesEvent,4,4,2015,1
Haxe,WatchEvent,517,2530,2014,3
Shell,IssuesEvent,3833,17459,2014,3
Logos,PushEvent,238,2048,2014,3
Lua,IssuesEvent,821,4465,2014,3
TypeScript,IssuesEvent,299,4736,2014,3
Arduino,ForkEvent,812,1404,2014,3
Squirrel,PushEvent,71,525,2014,3
Common Lisp,IssuesEvent,192,698,2014,4
Objective-C++,WatchEvent,187,1942,2014,4
Elm,ForkEvent,41,137,2014,4
ColdFusion,WatchEvent,175,342,2014,3
Verilog,IssuesEvent,27,71,2014,4
PureScript,IssuesEvent,57,174,2014,4
OpenEdge ABL,ForkEvent,45,99,2014,4
Dylan,WatchEvent,14,26,2014,4
Verilog,ForkEvent,141,279,2014,3
nesC,WatchEvent,46,178,2014,3
ABAP,PushEvent,27,196,2014,4
Scilab,WatchEvent,11,17,2014,4
Awk,WatchEvent,39,140,2014,3
ASP,IssuesEvent,43,153,2014,3
Mathematica,ForkEvent,44,71,2014,3
CoffeeScript,CreateEvent,22,22,2014,4
KRL,ForkEvent,1,1,2014,3
wisp,IssuesEvent,3,7,2014,4
LabVIEW,ForkEvent,15,30,2014,4
Oxygene,PushEvent,2,3,2014,3
Thrift,ForkEvent,2,6,2014,4
Arduino,WatchEvent,932,2125,2014,2
Cuda,PushEvent,211,2594,2014,2
Rebol,WatchEvent,31,76,2014,2
Objective-C++,WatchEvent,119,8432,2014,2
DM,PushEvent,396,9316,2014,2
Rust,WatchEvent,481,5782,2014,2
PowerShell,WatchEvent,443,1799,2014,2
Racket,IssuesEvent,43,164,2014,2
ActionScript,IssuesEvent,173,1149,2014,2
Io,WatchEvent,30,158,2014,2
HaXe,WatchEvent,110,251,2014,2
AGS Script,IssuesEvent,9,29,2014,3
Kotlin,IssuesEvent,15,92,2014,2
Max,WatchEvent,59,132,2014,2
XProc,PushEvent,12,119,2014,3
Logos,IssuesEvent,1,1,2015,1
MoonScript,PushEvent,1,1,2015,1
Prolog,WatchEvent,4,5,2015,1
nesC,IssuesEvent,1,1,2015,1
Racket,ForkEvent,1,1,2015,1
Xojo,WatchEvent,8,11,2014,4
Thrift,IssuesEvent,1,1,2014,4
Elm,IssuesEvent,10,39,2014,2
Ragel in Ruby Host,ForkEvent,4,6,2014,4
Dogescript,WatchEvent,2,2,2014,3
JSONiq,WatchEvent,5,5,2014,4
Component Pascal,WatchEvent,14,21,2014,3
VCL,ForkEvent,2,7,2014,2
Frege,ForkEvent,3,4,2014,2
Grace,WatchEvent,2,2,2014,4
Parrot,WatchEvent,5,10,2014,2
Cycript,ForkEvent,1,2,2014,4
Bro,IssuesEvent,1,1,2014,3
Xojo,WatchEvent,19,33,2014,3
Objective-C,WatchEvent,16672,209715,2014,1
CSS,WatchEvent,13567,163863,2014,1
C#,IssuesEvent,3383,22788,2014,1
CSS,ForkEvent,12139,62008,2014,1
Go,WatchEvent,5866,66418,2014,1
Tcl,PushEvent,367,3207,2014,1
Haxe,WatchEvent,488,2058,2014,1
LiveScript,WatchEvent,99,802,2014,1
MoonScript,PushEvent,45,545,2014,1
Nimrod,WatchEvent,41,295,2014,1
AutoHotkey,IssuesEvent,36,132,2014,1
Slash,PushEvent,55,588,2014,1
ASP,WatchEvent,112,220,2014,1
Processing,IssuesEvent,68,250,2014,1
Io,PushEvent,46,315,2014,1
Glyph,PushEvent,10,67,2014,1
OpenEdge ABL,IssuesEvent,9,37,2014,1
OpenEdge ABL,WatchEvent,46,88,2014,1
Elm,ForkEvent,24,50,2014,1
PogoScript,ForkEvent,16,20,2014,1
wisp,PushEvent,6,89,2014,1
Eiffel,ForkEvent,36,82,2014,1
ooc,ForkEvent,27,29,2014,1
Ruby,PushEvent,117419,910860,2013,3
PHP,IssuesEvent,5287,76347,2012,3
Python,WatchEvent,21948,104077,2012,4
Lua,PushEvent,1925,48951,2012,2
Shell,WatchEvent,4298,41397,2012,3
PHP,WatchEvent,17432,148842,2012,3
Objective-C,WatchEvent,3009,47157,2012,1
CoffeeScript,WatchEvent,2980,28455,2013,2
Objective-C,PushEvent,3444,57222,2012,1
Objective-C,IssuesEvent,3036,14433,2013,4
CoffeeScript,PushEvent,7366,65023,2013,2
Scala,WatchEvent,564,6183,2012,1
R,PushEvent,414,8295,2012,1
Objective-C,ForkEvent,10911,40089,2013,4
Groovy,PushEvent,2919,22559,2013,2
Perl,WatchEvent,2826,8543,2012,4
Erlang,PushEvent,617,9393,2012,1
VimL,WatchEvent,2847,21826,2013,2
Perl,ForkEvent,1604,8831,2012,2
Groovy,IssuesEvent,202,1791,2012,3
Scala,WatchEvent,1924,11726,2013,1
Go,WatchEvent,3011,25310,2013,2
C#,IssuesEvent,1578,12308,2012,4
Objective-C,ForkEvent,7162,31086,2013,1
Groovy,PushEvent,2501,19924,2013,3
MoonScript,PushEvent,14,181,2013,2
Factor,PushEvent,29,930,2013,2
F#,WatchEvent,41,294,2012,1
DCPU-16 ASM,PushEvent,96,2481,2012,2
FORTRAN,PushEvent,321,6781,2012,3
Pure Data,PushEvent,75,460,2012,3
Elixir,PushEvent,70,1963,2012,3
ColdFusion,ForkEvent,119,202,2013,1
ColdFusion,WatchEvent,174,390,2013,2
Dart,WatchEvent,238,917,2013,1
ColdFusion,PushEvent,309,3773,2013,4
Haskell,ForkEvent,976,2007,2013,3
Elixir,ForkEvent,104,329,2013,3
ActionScript,ForkEvent,637,2051,2012,4
Rust,PushEvent,255,3563,2012,4
Augeas,PushEvent,15,102,2013,3
Elixir,IssuesEvent,10,373,2012,2
Rust,WatchEvent,85,1130,2012,3
R,ForkEvent,241,1086,2012,3
D,WatchEvent,246,729,2013,1
Ceylon,PushEvent,23,198,2013,3
XML,IssuesEvent,19,121,2013,4
OpenEdge ABL,PushEvent,51,1584,2012,2
LiveScript,WatchEvent,38,325,2013,3
Ceylon,PushEvent,19,173,2013,2
Prolog,IssuesEvent,18,249,2012,3
Matlab,ForkEvent,99,374,2012,2
XSLT,IssuesEvent,153,1064,2013,4
Nimrod,IssuesEvent,3,96,2012,3
DOT,WatchEvent,53,252,2013,4
D,ForkEvent,245,561,2013,3
Arduino,WatchEvent,199,990,2012,3
TeX,ForkEvent,160,316,2013,4
IDL,PushEvent,46,324,2013,4
Assembly,IssuesEvent,9,66,2012,1
Shell,CreateEvent,28,86,2012,2
Java,CreateEvent,213,216,2013,3
Dylan,PushEvent,38,440,2013,3
nesC,ForkEvent,12,25,2013,4
DCPU-16 ASM,WatchEvent,10,58,2012,3
XQuery,IssuesEvent,13,61,2012,3
PowerShell,IssuesEvent,34,218,2012,3
REALbasic,IssuesEvent,1,7,2014,1
Dylan,PushEvent,38,327,2013,4
Common Lisp,ForkEvent,44,189,2012,1
Arc,ForkEvent,7,39,2013,1
ColdFusion,ForkEvent,121,203,2013,4
AppleScript,WatchEvent,37,99,2012,4
Pure Data,ForkEvent,31,60,2013,2
Fancy,PushEvent,2,38,2013,2
MoonScript,PushEvent,25,195,2013,3
Prolog,ForkEvent,53,109,2013,1
HaXe,IssuesEvent,21,32,2013,3
Scheme,IssuesEvent,7,42,2012,1
Prolog,CreateEvent,1,1,2014,3
Arc,WatchEvent,7,45,2012,1
Standard ML,ForkEvent,9,20,2012,3
Verilog,IssuesEvent,5,34,2012,3
Boo,ForkEvent,9,10,2013,3
SuperCollider,ForkEvent,17,23,2013,2
Rebol,ForkEvent,11,29,2012,4
Dylan,ForkEvent,12,22,2013,3
Mirah,WatchEvent,7,29,2012,3
Parrot,ForkEvent,2,10,2013,3
Nemerle,IssuesEvent,4,47,2013,2
ooc,WatchEvent,18,23,2013,2
Awk,IssuesEvent,5,8,2013,2
M,WatchEvent,18,29,2013,3
Pike,PushEvent,5,8,2013,1
R,CreateEvent,7,7,2013,1
Scilab,IssuesEvent,3,9,2013,1
ColdFusion,CreateEvent,1,1,2013,2
Emacs Lisp,CreateEvent,10,24,2012,3
Processing,CreateEvent,7,7,2013,3
Augeas,WatchEvent,3,16,2012,2
ooc,ForkEvent,1,4,2012,3
ABAP,WatchEvent,2,6,2013,4
Squirrel,CreateEvent,2,2,2014,2
PogoScript,ForkEvent,2,3,2013,3
Kotlin,IssuesEvent,2,2,2012,4
Bluespec,ForkEvent,3,4,2014,2
Ceylon,ForkEvent,1,3,2012,4
eC,ForkEvent,1,1,2013,1
Eiffel,CreateEvent,1,1,2013,4
FORTRAN,CreateEvent,1,1,2013,2
JavaScript,ForkEvent,59531,240463,2014,2
TypeScript,PushEvent,2827,32395,2014,2
Common Lisp,IssuesEvent,150,502,2014,2
R,ForkEvent,2302,20898,2014,2
VCL,ForkEvent,14,61,2014,4
Vala,ForkEvent,83,178,2014,4
Shell,ForkEvent,11655,31517,2014,4
XSLT,PushEvent,2217,21096,2014,4
Lua,ForkEvent,1960,5127,2014,4
Dart,WatchEvent,537,2094,2014,4
Eiffel,PushEvent,84,1537,2014,4
Objective-C,PushEvent,326,737,2015,1
OpenSCAD,PushEvent,10,18,2015,1
VHDL,PushEvent,5,6,2015,1
