repository_language,type,active_repos_by_url,events,year,quarter
AutoHotkey,IssuesEvent,6,54,2012,1
Max,PushEvent,8,94,2012,4
Arc,PushEvent,9,209,2012,3
wisp,PushEvent,4,30,2013,3
Augeas,PushEvent,17,133,2012,4
Boo,PushEvent,29,356,2013,4
Nemerle,WatchEvent,26,113,2013,2
Max,PushEvent,87,515,2013,4
C#,CreateEvent,25,57,2012,3
Standard ML,WatchEvent,64,189,2013,4
Ragel in Ruby Host,WatchEvent,4,21,2013,3
Turing,WatchEvent,6,86,2012,2
Rebol,PushEvent,31,109,2012,4
PHP,CreateEvent,229,235,2013,2
Matlab,CreateEvent,6,6,2014,2
Gosu,ForkEvent,3,12,2012,1
Scala,CreateEvent,12,31,2012,2
ASP,ForkEvent,87,131,2013,2
Factor,ForkEvent,3,14,2013,2
XC,IssuesEvent,2,2,2014,1
Nu,PushEvent,8,24,2013,3
Gosu,WatchEvent,12,22,2012,4
Kotlin,CreateEvent,1,3,2012,2
Smalltalk,IssuesEvent,3,18,2012,1
Scala,CreateEvent,14,15,2013,4
M,ForkEvent,19,26,2013,3
Factor,WatchEvent,10,34,2013,3
VHDL,CreateEvent,1,3,2012,2
eC,ForkEvent,1,2,2013,4
Rebol,WatchEvent,7,12,2013,3
Nimrod,ForkEvent,2,22,2012,3
C#,CreateEvent,4,4,2013,1
Perl6,IssuesEvent,1,1,2014,1
Arc,ForkEvent,4,16,2012,3
Parrot,WatchEvent,4,9,2012,4
Clojure,CreateEvent,3,3,2013,1
Monkey,ForkEvent,2,2,2013,1
Xtend,WatchEvent,2,4,2013,1
Emacs Lisp,CreateEvent,2,2,2013,1
eC,PushEvent,2,3,2012,4
Max/MSP,WatchEvent,1,3,2012,2
Xtend,ForkEvent,3,3,2013,3
COBOL,ForkEvent,3,4,2013,4
wisp,WatchEvent,2,2,2013,2
Boo,IssuesEvent,1,2,2012,3
XSLT,CreateEvent,1,1,2013,2
Bro,WatchEvent,1,3,2012,1
DCPU-16 ASM,IssuesEvent,1,1,2014,2
Rust,CreateEvent,1,1,2013,4
